time,x,y
2017-02-02T17:43:21.392633+00:00,529600,656205
2017-02-02T17:43:21.426353+00:00,529600,654422
2017-02-02T17:43:21.460073+00:00,531383,654422
2017-02-02T17:43:21.493793+00:00,533166,654422
2017-02-02T17:43:21.527513+00:00,538516,657988
2017-02-02T17:43:21.561233+00:00,540299,661554
2017-02-02T17:43:21.594952+00:00,545649,665121
2017-02-02T17:43:21.628672+00:00,550998,672253
2017-02-02T17:43:21.662392+00:00,556348,679386
2017-02-02T17:43:21.696112+00:00,558131,681169
2017-02-02T17:43:21.729832+00:00,556348,681169
2017-02-02T17:43:21.763552+00:00,554564,679386
2017-02-02T17:43:21.797272+00:00,556348,675820
2017-02-02T17:43:21.830992+00:00,554564,672253
2017-02-02T17:43:21.864712+00:00,552781,670470
2017-02-02T17:43:21.898432+00:00,552781,670470
2017-02-02T17:43:21.932152+00:00,552781,670470
2017-02-02T17:43:21.965872+00:00,552781,670470
2017-02-02T17:43:21.999592+00:00,552781,670470
2017-02-02T17:43:22.033312+00:00,552781,668687
2017-02-02T17:43:22.067032+00:00,552781,670470
2017-02-02T17:43:22.100752+00:00,554564,670470
2017-02-02T17:43:22.134472+00:00,554564,670470
2017-02-02T17:43:22.168191+00:00,556348,670470
2017-02-02T17:43:22.201911+00:00,558131,670470
2017-02-02T17:43:22.235631+00:00,563480,672253
2017-02-02T17:43:22.269351+00:00,568830,675820
2017-02-02T17:43:22.303071+00:00,577746,681169
2017-02-02T17:43:22.336791+00:00,586661,686519
2017-02-02T17:43:22.370511+00:00,592011,691868
2017-02-02T17:43:22.404231+00:00,597360,695435
2017-02-02T17:43:22.437951+00:00,608059,699001
2017-02-02T17:43:22.471671+00:00,615192,699001
2017-02-02T17:43:22.505391+00:00,620542,700784
2017-02-02T17:43:22.539111+00:00,625891,702567
2017-02-02T17:43:22.572831+00:00,633024,704350
2017-02-02T17:43:22.606551+00:00,640156,704350
2017-02-02T17:43:22.640271+00:00,652639,704350
2017-02-02T17:43:22.673991+00:00,661554,700784
2017-02-02T17:43:22.707710+00:00,672253,699001
2017-02-02T17:43:22.741430+00:00,681169,699001
2017-02-02T17:43:22.775150+00:00,690085,699001
2017-02-02T17:43:22.808870+00:00,699001,699001
2017-02-02T17:43:22.842590+00:00,699001,699001
2017-02-02T17:43:22.876310+00:00,699001,697218
2017-02-02T17:43:22.910030+00:00,699001,693651
2017-02-02T17:43:22.943750+00:00,704350,690085
2017-02-02T17:43:22.977470+00:00,707917,688302
2017-02-02T17:43:23.011190+00:00,715049,686519
2017-02-02T17:43:23.044910+00:00,718616,684736
2017-02-02T17:43:23.078630+00:00,723965,681169
2017-02-02T17:43:23.112350+00:00,727532,675820
2017-02-02T17:43:23.146070+00:00,727532,674037
2017-02-02T17:43:23.179790+00:00,732881,668687
2017-02-02T17:43:23.213510+00:00,732881,666904
2017-02-02T17:43:23.247229+00:00,732881,665121
2017-02-02T17:43:23.280949+00:00,732881,665121
2017-02-02T17:43:23.314669+00:00,734664,663338
2017-02-02T17:43:23.348389+00:00,736447,665121
2017-02-02T17:43:23.382109+00:00,738231,666904
2017-02-02T17:43:23.415829+00:00,740014,665121
2017-02-02T17:43:23.449549+00:00,745363,663338
2017-02-02T17:43:23.483269+00:00,747146,663338
2017-02-02T17:43:23.516989+00:00,748930,659771
2017-02-02T17:43:23.550709+00:00,747146,659771
2017-02-02T17:43:23.584429+00:00,748930,657988
2017-02-02T17:43:23.618149+00:00,750713,657988
2017-02-02T17:43:23.651869+00:00,752496,656205
