date,time,x,y
2/9/17,01:24.394300+00:00,520639,249001
2/9/17,01:24.427686+00:00,517976,250332
2/9/17,01:24.461072+00:00,516644,250332
2/9/17,01:24.494459+00:00,516644,249001
2/9/17,01:24.527845+00:00,513981,251664
2/9/17,01:24.561231+00:00,509986,255659
2/9/17,01:24.594618+00:00,505992,263648
2/9/17,01:24.628004+00:00,504660,263648
2/9/17,01:24.661390+00:00,503328,264980
2/9/17,01:24.694777+00:00,501997,267643
2/9/17,01:24.728163+00:00,496671,268974
2/9/17,01:24.761549+00:00,494007,270306
2/9/17,01:24.794936+00:00,494007,270306
2/9/17,01:24.828322+00:00,495339,270306
2/9/17,01:24.861708+00:00,495339,270306
2/9/17,01:24.895095+00:00,492676,271637
2/9/17,01:24.928481+00:00,490013,272969
2/9/17,01:24.961867+00:00,488681,274300
2/9/17,01:24.995254+00:00,487350,275632
2/9/17,01:25.028640+00:00,484687,278295
2/9/17,01:25.062026+00:00,483355,279627
2/9/17,01:25.095413+00:00,484687,279627
2/9/17,01:25.128799+00:00,484687,279627
2/9/17,01:25.162185+00:00,484687,279627
2/9/17,01:25.195572+00:00,484687,279627
2/9/17,01:25.228958+00:00,483355,279627
2/9/17,01:25.262344+00:00,482023,280958
2/9/17,01:25.295731+00:00,480692,283621
2/9/17,01:25.329117+00:00,478029,284953
2/9/17,01:25.362503+00:00,474034,288948
2/9/17,01:25.395890+00:00,470039,291611
2/9/17,01:25.429276+00:00,467376,292942
2/9/17,01:25.462662+00:00,462050,294274
2/9/17,01:25.496049+00:00,456724,296937
2/9/17,01:25.529435+00:00,452729,299600
2/9/17,01:25.562821+00:00,450066,303595
2/9/17,01:25.596208+00:00,446071,306258
2/9/17,01:25.629594+00:00,443408,310252
2/9/17,01:25.662980+00:00,439414,312916
2/9/17,01:25.696367+00:00,436750,315579
2/9/17,01:25.729753+00:00,435419,316910
